id,brand,model,type,resolution_label,megapixels,sensor,field_of_view_deg,night_vision_type,ip_rating,two_way_audio,release_year
abus-ipcb68516,ABUS,IPCB68516,bullet,4K UHD,8,,103h,ir,IP67,false,2023
abus-ppic42520,ABUS,PPIC42520,ptz,3MP 2K,3,"1/2.7"" CMOS",355 pan / 90 tilt,ir,IP66,true,2023
abus-ppic42520-at,ABUS,PPIC42520 (Austria),ptz,3MP 2K,3,"1/2.7"" CMOS",355 pan / 90 tilt,ir,IP66,true,2023
abus-ppic44020,ABUS,PPIC44020,bullet,4MP,4,,107h,ir,IP66,false,2022
abus-ppic44520,ABUS,PPIC44520,bullet,3MP 2K,3,"1/2.7"" CMOS",100 horizontal,ir,IP66,true,2023
abus-ppic46520,ABUS,PPIC46520,bullet,3MP 2K,3,"1/2.8"" CMOS",110 horizontal,color,IP55,true,2022
abus-ppic90520,ABUS,PPIC90520,bullet,1080p HD,2,CMOS,110 horizontal,ir,IP65,true,2023
abus-ppic94021,ABUS,PPIC94021,covert,1080p HD,2,,130h,ir,IP44,true,2023
abus-tvip42520,ABUS,TVIP42520,dome,1080p HD,2,"1/2.8"" CMOS",103-30 horizontal,ir,IP67,false,2021
abus-tvip44021,ABUS,TVIP44021,bullet,4MP,4,,103h,ir,IP66,false,2022
abus-tvip44520,ABUS,TVIP44520,dome,4MP QHD,4,"1/2.8"" CMOS",99 horizontal,ir,IP67,false,2022
abus-tvip44520-at,ABUS,TVIP44520 (Austria),dome,4MP QHD,4,"1/2.8"" CMOS",99 horizontal,ir,IP67,false,2022
abus-tvip45000,ABUS,TVIP45000,dome,4K UHD,8,,107h,ir,IP67,false,2023
abus-tvip48500,ABUS,TVIP48500,dome,4K UHD,8,,106-32h,ir,IP67,false,2024
abus-tvip61600,ABUS,TVIP61600,ptz,1080p HD,2,,60-3h,ir,IP66,false,2023
adt-command-indoor-cam,ADT,ADT+ Indoor Camera,dome,2K QHD,4,,124 diagonal,color,IP20,true,2023
adt-command-outdoor-cam,ADT,ADT+ Outdoor Camera,bullet,2K QHD,4,,140 horizontal,color,IP65,true,2023
adt-doorbell-cam-v2,ADT,ADT+ Video Doorbell,covert,1080p HD,2,,150h,ir,IP44,true,2023
adt-indoor-cam-v2,ADT,ADT+ Indoor Camera,dome,1080p HD,2,,120h,ir,IP20,true,2023
adt-plus-floodlight-cam,ADT,ADT+ Floodlight Camera,bullet,2K QHD,4,,150 horizontal,color,IP65,true,2024
ajax-dualcam,Ajax,DualCam,dome,2K dual camera,4,,105 wide + 45 tele,ir,IP55,true,2024
ajax-outdoor-cam-multisensor,Ajax,OutdoorCam,bullet,4K UHD,8,,107 horizontal,color,IP66,true,2024
amcrest-ad410-doorbell,Amcrest,AD410 2K Video Doorbell,covert,2K QHD,4,,163 diagonal (head-to-toe),color,IP65,true,2022
amcrest-ad410p,Amcrest,AD410P,box,2K QHD,4,,164 diagonal,ir,IP65,true,2023
amcrest-ash42-w,Amcrest,ASH42-W,dome,2K QHD,4,,,ir,,true,2023
amcrest-ip2m-841b,Amcrest,IP2M-841B 1080p WiFi Bullet,bullet,1080p HD,2,,107h,ir,IP67,false,2019
amcrest-ip4m-1041w,Amcrest,IP4M-1041W,bullet,4MP,4,,,ir,IP67,false,2022
amcrest-ip4m-1051b,Amcrest,IP4M-1051B,dome,4MP,4,,,ir,IP20,false,2022
amcrest-ip4m-1051ew,Amcrest,IP4M-1051E 4MP WiFi Dome,dome,4MP,4,,103h,ir,IP20,false,2022
amcrest-ip5m-b1186ew,Amcrest,IP5M-B1186EW,bullet,5MP,5,,,color,IP67,true,2023
amcrest-ip5m-t1179e,Amcrest,UltraHD 5MP Turret PoE (IP5M-T1179E),turret,5MP,5,"1/2.7"" CMOS",103 horizontal,ir,IP67,false,
amcrest-ip5m-t1179ew,Amcrest,5MP AI Turret PoE V3 (IP5M-T1179E),turret,5MP,5,"1/2.7"" CMOS",99 horizontal,ir,IP67,false,2024
amcrest-ip5m-t1190ew,Amcrest,5MP AI Turret PoE ColorVu (IP5M-T1190E),turret,5MP,5,"1/2.7"" CMOS",99 horizontal,color,IP67,true,2024
amcrest-ip5m-t1277ew,Amcrest,5MP AI Turret PoE (IP5M-T1277E),turret,5MP,5,"1/2.7"" CMOS",99 horizontal,ir,IP67,true,
amcrest-ip8m-2483ew,Amcrest,UltraHD 4K Turret PoE (IP8M-2483E),turret,4K UHD,8,"1/2.5"" CMOS",105 horizontal,ir,IP67,false,
amcrest-ip8m-2493ew,Amcrest,4K AI Bullet PoE (IP8M-2493E),bullet,4K UHD,8,CMOS,125 horizontal,color,IP67,true,
